epoch,loss_avg,loss_test,acc_test,best_acc
84.0,1.5082589478095374,1.4952305526733398,96.63,96.63
85.0,1.5084442628622055,1.4957736640930175,96.5,96.63
86.0,1.5061427069505056,1.4951051498413086,96.62,96.63
87.0,1.5081035489638654,1.4950156757354736,96.6,96.63
88.0,1.5096094039678576,1.4946969970703126,96.64,96.64
89.0,1.5055804025332133,1.4947491561889648,96.72,96.72
90.0,1.5021207370758056,1.4949166172027588,96.61,96.72
91.0,1.5062125129699706,1.4946802623748778,96.65,96.72
92.0,1.5046790021657939,1.4942510738372803,96.68,96.72
93.0,1.50511928554376,1.4933353687286377,96.84,96.84
94.0,1.50830025045077,1.4935488861083985,96.8,96.84
95.0,1.5045818149248753,1.4938175434112548,96.64,96.84
96.0,1.5085061044692996,1.4937015590667724,96.77,96.84
97.0,1.5084937652746833,1.4931796226501466,96.81,96.84
98.0,1.5075822337071099,1.4924997245788574,96.89,96.89
99.0,1.500450883706411,1.4926263278961183,96.88,96.89
100.0,1.5033662566741308,1.4924042484283446,96.9,96.9
101.0,1.5031392252842581,1.4931493644714355,96.78,96.9
102.0,1.506907550175985,1.4923250324249269,96.91,96.91
103.0,1.500876401742299,1.4933141254425049,96.79,96.91
104.0,1.5001707703272502,1.4929007575988769,96.82,96.91
105.0,1.501446689446767,1.492580124282837,96.85,96.91
106.0,1.496901338775953,1.4918451480865478,96.98,96.98
107.0,1.4975007941722873,1.4919684757232665,96.92,96.98
108.0,1.4955745302041372,1.493366046524048,96.77,96.98
109.0,1.4974034791787465,1.4915521617889405,96.94,96.98
110.0,1.50085307832559,1.49211759223938,96.89,96.98
111.0,1.4962654417753216,1.4914060642242433,96.96,96.98
112.0,1.495641830643018,1.4913073017120362,97.03,97.03
113.0,1.4971619949738186,1.4911385913848878,97.02,97.03
114.0,1.49309678820769,1.4908029361724853,97.04,97.04
115.0,1.4979931165377303,1.4906380695343018,97.05,97.05
116.0,1.496421913107236,1.4905099460601807,97.08,97.08
117.0,1.4967912588914234,1.4903808444976807,97.1,97.1
118.0,1.4956546166340505,1.4911155414581299,97.0,97.1
119.0,1.4949612701336539,1.490296998977661,97.11,97.11
120.0,1.4977017451922094,1.4899002506256103,97.17,97.17
121.0,1.4980116231044136,1.4904838218688965,97.03,97.17
122.0,1.4946480193138125,1.4894149021148682,97.2,97.2
123.0,1.4908782902558642,1.4899172092437745,97.1,97.2
124.0,1.4939269352753957,1.4894035327911377,97.2,97.2
