epoch,loss_avg,loss_test,acc_test,best_acc
317.0,1.4740288215478257,1.4866723514556885,97.49,97.52
318.0,1.4744673726558688,1.486780543899536,97.43,97.52
319.0,1.47436799065272,1.486708559036255,97.45,97.52
320.0,1.4738562114636102,1.4867176120758057,97.42,97.52
321.0,1.4747193395296727,1.4867280368804932,97.43,97.52
322.0,1.4737498111327492,1.4867666049957275,97.42,97.52
323.0,1.4754836409489311,1.486538097000122,97.46,97.52
324.0,1.4756140874226893,1.4865648136138916,97.43,97.52
325.0,1.4743533142010372,1.4866040790557862,97.44,97.52
326.0,1.4736082004706066,1.4866370700836182,97.44,97.52
327.0,1.4743158974250152,1.4865614002227783,97.45,97.52
328.0,1.4737214719454446,1.486595894241333,97.42,97.52
329.0,1.4744026680787399,1.4865867557525634,97.44,97.52
330.0,1.4744390348196035,1.4866953357696533,97.43,97.52
331.0,1.4739334932168326,1.4866647190093993,97.42,97.52
332.0,1.4735372683604557,1.4866563983917236,97.41,97.52
333.0,1.4731766536235806,1.4866373035430909,97.43,97.52
334.0,1.473210007309914,1.4866353229522704,97.43,97.52
335.0,1.4735907477935155,1.4866136798858642,97.42,97.52
336.0,1.4739887306690216,1.4865977390289307,97.43,97.52
337.0,1.4737971179485325,1.48659778175354,97.42,97.52
338.0,1.473084551731746,1.4865765171051026,97.46,97.52
339.0,1.473599505345027,1.4866972888946532,97.46,97.52
340.0,1.4737584695418682,1.4866033374786376,97.45,97.52
341.0,1.473707052707672,1.4866440464019774,97.45,97.52
342.0,1.4732039572397866,1.4866550205230713,97.41,97.52
343.0,1.4737312678496044,1.4867465839385987,97.42,97.52
344.0,1.4739653538465498,1.4866429691314698,97.43,97.52
345.0,1.4751166596015297,1.4868018085479737,97.38,97.52
346.0,1.4735776685476307,1.4866769138336182,97.43,97.52
347.0,1.4738992546399432,1.486717718887329,97.42,97.52
348.0,1.4734701642990116,1.486634206008911,97.44,97.52
349.0,1.473472971399625,1.4866593616485595,97.44,97.52
